"","time","country","estimated_deaths_forecast","death_min_forecast","death_max_forecast"
"1",2020-04-04,"Portugal",30.130485688616,21.911944745617,41.6591579946081
"2",2020-04-05,"Portugal",32.0472866395021,22.5504907572494,45.1923185984244
"3",2020-04-06,"Portugal",33.8843748841092,22.9948042832285,49.1330689931331
"4",2020-04-07,"Portugal",35.6457463967051,23.2414506219953,53.7878679870823
"5",2020-04-08,"Portugal",37.322323828372,23.2906955263197,58.4329533110561
"6",2020-04-09,"Portugal",38.9300841700728,23.3817707229725,63.1755790259217
"7",2020-04-10,"Portugal",40.4769490083983,23.4383363635596,68.7632645545573
"8",2020-04-11,"Portugal",41.9737714380708,23.5925538165316,74.7231041232232
"9",2020-04-12,"Portugal",43.4188199603246,23.6348286815105,80.8232819813435
"10",2020-04-13,"Portugal",44.837941109706,23.3155953671387,87.0781745607836
"11",2020-04-04,"Spain",1182.91186456762,786.348976054872,1631.29042963386
"12",2020-04-05,"Spain",1262.66447992508,780.613157835761,1829.13781771416
"13",2020-04-06,"Spain",1344.90164789797,759.574512375878,2047.61007328713
"14",2020-04-07,"Spain",1430.63469888933,734.552517287099,2290.85476041469
"15",2020-04-08,"Spain",1520.39522577931,706.473478146343,2560.54371738086
"16",2020-04-09,"Spain",1614.49818552808,680.534749955563,2859.43407721456
"17",2020-04-10,"Spain",1714.42286969427,659.63607336088,3191.45764326237
"18",2020-04-11,"Spain",1820.34738480609,636.612918462863,3560.04230013394
"19",2020-04-12,"Spain",1933.33629861506,612.139316923774,3969.58290290164
"20",2020-04-13,"Spain",2054.50612712629,586.861257963841,4443.54024464817
"21",2020-04-04,"Sweden",55.8557935533516,37.6754613868485,80.8602083417067
"22",2020-04-05,"Sweden",66.3606392922539,42.9960150885252,101.959816909999
"23",2020-04-06,"Sweden",78.8588194294659,48.8023179975477,128.547633718673
"24",2020-04-07,"Sweden",93.7551053084482,54.7268058370807,162.053024180009
"25",2020-04-08,"Sweden",111.536000123804,61.3140637238787,204.27699825596
"26",2020-04-09,"Sweden",132.796973759701,68.6443995085243,257.490251353128
"27",2020-04-10,"Sweden",158.250929078404,75.6601346400354,324.553350658251
"28",2020-04-11,"Sweden",188.771295326673,83.1241601415879,409.073532127537
"29",2020-04-12,"Sweden",225.40924929696,91.0920692427374,515.594578806987
"30",2020-04-13,"Sweden",269.449243769878,99.7821505816918,649.845408096806
